name,image,category
"Networking Starter Kit — Wi-Fi Router, 24-Port Switch & Cat6 Cable",assets/products/networking-bundle.jpg,Networking
"Enterprise Tower Servers — Multi-Bay Storage, LED Status, Rack Ready",assets/products/tower-servers.jpg,Servers
"Business Chromebook — Chrome OS, Full Keyboard & Trackpad",assets/products/chromebook.jpg,Chromebooks
"Storage Bundle — 4-Bay NAS + 4TB SATA Drive + SSD",assets/products/storage-bundle.jpg,Storage
"Yealink IP Desk Phone — Color LCD, HD Voice Handset",assets/products/ip-phone.jpg,IP Phones
"Epson Flatbed Scanner — Open Lid, High-Resolution Platen",assets/products/scanner.jpg,Printers & Scanners
"Brother Color Multifunction Printer — Touchscreen, ADF",assets/products/mfp-printer.jpg,Printers & Scanners
"Epson 3LCD Projector — Bright Lens, Adjustable Focus",assets/products/projector.jpg,Projectors
"Gigabyte GeForce RTX Graphics Card — Triple-Fan Cooling",assets/products/gpu.jpg,GPU
"Epson Thermal Receipt Printer — POS, Top-Exit Paper",assets/products/receipt-printer.jpg,Receipt Printers
"Laptop Accessory Bundle — Bag, Mouse, USB-C Hub, Stand & Cooler",assets/products/laptop-accessories.jpg,Laptop Accessories
"Bullet IP Security Camera — IR Night Vision, Wall Mount",assets/products/ip-camera.jpg,IP Camera
"Compact Thermal Receipt Printer — 80mm POS, LED Indicators",assets/products/thermal-printer.jpg,Thermal Printer
